,Dates,activityType,distance(m),confidence,probability,name,address,placeConfidence,locationConfidence,Day of week,Temp(F)
0,2020-09-01,IN_PASSENGER_VEHICLE,4669.0,HIGH,79.35762405395508,URM Cash & Carry,"902 E Springfield Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,90.47586,Tuesday,84.92
1,2020-09-01,IN_PASSENGER_VEHICLE,4669.0,HIGH,79.35762405395508,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,69.99587,Tuesday,84.92
2,2020-09-01,IN_PASSENGER_VEHICLE,4669.0,HIGH,79.35762405395508,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,67.84147,Tuesday,84.92
3,2020-09-01,IN_PASSENGER_VEHICLE,4669.0,HIGH,79.35762405395508,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,56.13814,Tuesday,84.92
4,2020-09-01,IN_PASSENGER_VEHICLE,4669.0,HIGH,79.35762405395508,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,64.23985,Tuesday,84.92
5,2020-09-01,IN_PASSENGER_VEHICLE,4669.0,HIGH,79.35762405395508,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,76.16965,Tuesday,84.92
6,2020-09-01,IN_PASSENGER_VEHICLE,4669.0,HIGH,79.35762405395508,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,72.51173,Tuesday,84.92
7,2020-09-01,IN_PASSENGER_VEHICLE,1142.0,HIGH,79.97937798500061,URM Cash & Carry,"902 E Springfield Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,90.47586,Tuesday,84.92
8,2020-09-01,IN_PASSENGER_VEHICLE,1142.0,HIGH,79.97937798500061,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,69.99587,Tuesday,84.92
9,2020-09-01,IN_PASSENGER_VEHICLE,1142.0,HIGH,79.97937798500061,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,67.84147,Tuesday,84.92
10,2020-09-01,IN_PASSENGER_VEHICLE,1142.0,HIGH,79.97937798500061,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,56.13814,Tuesday,84.92
11,2020-09-01,IN_PASSENGER_VEHICLE,1142.0,HIGH,79.97937798500061,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,64.23985,Tuesday,84.92
12,2020-09-01,IN_PASSENGER_VEHICLE,1142.0,HIGH,79.97937798500061,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,76.16965,Tuesday,84.92
13,2020-09-01,IN_PASSENGER_VEHICLE,1142.0,HIGH,79.97937798500061,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,72.51173,Tuesday,84.92
14,2020-09-01,WALKING,3354.0,LOW,57.237666845321655,URM Cash & Carry,"902 E Springfield Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,90.47586,Tuesday,84.92
15,2020-09-01,WALKING,3354.0,LOW,57.237666845321655,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,69.99587,Tuesday,84.92
16,2020-09-01,WALKING,3354.0,LOW,57.237666845321655,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,67.84147,Tuesday,84.92
17,2020-09-01,WALKING,3354.0,LOW,57.237666845321655,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,56.13814,Tuesday,84.92
18,2020-09-01,WALKING,3354.0,LOW,57.237666845321655,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,64.23985,Tuesday,84.92
19,2020-09-01,WALKING,3354.0,LOW,57.237666845321655,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,76.16965,Tuesday,84.92
20,2020-09-01,WALKING,3354.0,LOW,57.237666845321655,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,72.51173,Tuesday,84.92
21,2020-09-01,WALKING,319.0,HIGH,86.69624328613281,URM Cash & Carry,"902 E Springfield Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,90.47586,Tuesday,84.92
22,2020-09-01,WALKING,319.0,HIGH,86.69624328613281,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,69.99587,Tuesday,84.92
23,2020-09-01,WALKING,319.0,HIGH,86.69624328613281,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,67.84147,Tuesday,84.92
24,2020-09-01,WALKING,319.0,HIGH,86.69624328613281,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,56.13814,Tuesday,84.92
25,2020-09-01,WALKING,319.0,HIGH,86.69624328613281,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,64.23985,Tuesday,84.92
26,2020-09-01,WALKING,319.0,HIGH,86.69624328613281,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,76.16965,Tuesday,84.92
27,2020-09-01,WALKING,319.0,HIGH,86.69624328613281,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,72.51173,Tuesday,84.92
28,2020-09-01,WALKING,328.0,HIGH,83.77753496170044,URM Cash & Carry,"902 E Springfield Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,90.47586,Tuesday,84.92
29,2020-09-01,WALKING,328.0,HIGH,83.77753496170044,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,69.99587,Tuesday,84.92
30,2020-09-01,WALKING,328.0,HIGH,83.77753496170044,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,67.84147,Tuesday,84.92
31,2020-09-01,WALKING,328.0,HIGH,83.77753496170044,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,56.13814,Tuesday,84.92
32,2020-09-01,WALKING,328.0,HIGH,83.77753496170044,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,64.23985,Tuesday,84.92
33,2020-09-01,WALKING,328.0,HIGH,83.77753496170044,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,76.16965,Tuesday,84.92
34,2020-09-01,WALKING,328.0,HIGH,83.77753496170044,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,72.51173,Tuesday,84.92
35,2020-09-01,WALKING,1211.0,LOW,50.41619539260864,URM Cash & Carry,"902 E Springfield Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,90.47586,Tuesday,84.92
36,2020-09-01,WALKING,1211.0,LOW,50.41619539260864,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,69.99587,Tuesday,84.92
37,2020-09-01,WALKING,1211.0,LOW,50.41619539260864,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,67.84147,Tuesday,84.92
38,2020-09-01,WALKING,1211.0,LOW,50.41619539260864,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,56.13814,Tuesday,84.92
39,2020-09-01,WALKING,1211.0,LOW,50.41619539260864,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,64.23985,Tuesday,84.92
40,2020-09-01,WALKING,1211.0,LOW,50.41619539260864,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,76.16965,Tuesday,84.92
41,2020-09-01,WALKING,1211.0,LOW,50.41619539260864,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,72.51173,Tuesday,84.92
42,2020-09-01,WALKING,543.0,MEDIUM,66.21019840240479,URM Cash & Carry,"902 E Springfield Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,90.47586,Tuesday,84.92
43,2020-09-01,WALKING,543.0,MEDIUM,66.21019840240479,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,69.99587,Tuesday,84.92
44,2020-09-01,WALKING,543.0,MEDIUM,66.21019840240479,Kennedy Apartments,"121 E Boone Ave
Spokane, WA 99202
USA",MEDIUM_CONFIDENCE,67.84147,Tuesday,84.92
45,2020-09-01,WALKING,543.0,MEDIUM,66.21019840240479,Gonzaga University,"502 E Boone Ave
Spokane, WA 99258
USA",MEDIUM_CONFIDENCE,56.13814,Tuesday,84.92
